InvoiceNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV100000,Sugar,2,2023-11-24,11.18,18935,United Kingdom
INV100000,Milk,5,2023-11-24,6.62,10488,United Kingdom
INV100000,Vegetables,2,2023-11-24,3.87,19863,United Kingdom
INV100000,Fish,5,2023-11-24,3.38,18928,India
INV100000,Rice,2,2023-11-24,7.01,14557,United Kingdom
INV100000,Coffee,2,2023-11-24,10.62,15574,France
INV100001,Cheese,1,2023-03-21,6.01,15881,France
INV100001,Pasta,5,2023-03-21,4.34,10711,India
INV100001,Olive Oil,5,2023-03-21,2.31,16201,United Kingdom
INV100002,Vegetables,3,2023-10-10,8.87,11139,United Kingdom
INV100002,Chicken,2,2023-10-10,11.71,11307,Germany
INV100002,Olive Oil,1,2023-10-10,6.01,17428,France
INV100003,Juice,1,2023-03-25,9.33,12803,USA
INV100003,Yogurt,2,2023-03-25,2.87,16216,France
INV100003,Fruits,5,2023-03-25,3.68,15313,United Kingdom
INV100004,Eggs,1,2023-04-28,3.56,19292,France
INV100004,Bread,2,2023-04-28,10.0,16482,India
INV100004,Butter,2,2023-04-28,4.34,14040,USA
INV100005,Vegetables,5,2023-10-03,6.29,13593,Germany
INV100005,Fish,5,2023-10-03,7.66,10771,United Kingdom
INV100005,Rice,2,2023-10-03,9.6,16916,USA
INV100006,Soda,5,2023-02-02,4.15,19064,United Kingdom
INV100006,Chips,1,2023-02-02,10.38,18797,France
INV100006,Chocolate,3,2023-02-02,2.12,17123,Germany
INV100007,Bread,3,2023-08-21,14.59,12927,USA
INV100007,Butter,1,2023-08-21,13.12,14889,USA
INV100007,Milk,5,2023-08-21,3.38,16126,Germany
INV100008,Cheese,5,2023-10-04,5.2,10319,United Kingdom
INV100008,Eggs,3,2023-10-04,13.24,15038,Germany
INV100008,Milk,1,2023-10-04,3.99,19295,United Kingdom
INV100009,Water,2,2023-02-13,2.36,17787,USA
INV100009,Chips,2,2023-02-13,4.34,19938,India
INV100009,Soda,2,2023-02-13,13.97,13295,France
INV100009,Tissue,4,2023-02-13,14.93,16118,India
INV100010,Shampoo,5,2023-09-22,8.53,19641,Germany
INV100010,Vegetables,1,2023-09-22,1.53,10964,Germany
INV100010,Soap,1,2023-09-22,13.63,15413,United Kingdom
INV100010,Toothpaste,5,2023-09-22,3.95,17953,Germany
INV100010,Rice,5,2023-09-22,2.42,19355,USA
INV100010,Chicken,4,2023-09-22,4.02,17749,India
INV100010,Milk,2,2023-09-22,1.87,17062,France
INV100011,Beer,1,2023-08-05,1.38,15559,United Kingdom
INV100011,Chips,2,2023-08-05,3.28,18786,India
INV100012,Shampoo,1,2023-03-13,6.93,19016,United Kingdom
INV100012,Soap,1,2023-03-13,9.96,18856,United Kingdom
INV100012,Toothpaste,1,2023-03-13,13.93,13872,Germany
INV100012,Beer,4,2023-03-13,7.54,13502,India
INV100012,Chips,1,2023-03-13,2.89,10035,India
INV100013,Shampoo,5,2023-05-16,10.1,17973,Germany
INV100013,Juice,2,2023-05-16,4.8,10958,USA
INV100013,Fruits,5,2023-05-16,1.38,15138,United Kingdom
INV100013,Soap,1,2023-05-16,8.97,18238,USA
INV100013,Toothpaste,2,2023-05-16,1.32,18320,United Kingdom
INV100013,Yogurt,2,2023-05-16,1.49,11113,Germany
INV100014,Coffee,5,2023-07-26,9.12,11343,India
INV100014,Sugar,5,2023-07-26,8.7,15183,France
INV100014,Milk,2,2023-07-26,10.21,15147,Germany
INV100015,Bread,3,2023-05-16,13.97,11188,United Kingdom
INV100015,Tomato Sauce,4,2023-05-16,9.51,19224,United Kingdom
INV100015,Cheese,1,2023-05-16,8.3,18288,France
INV100015,Chocolate,2,2023-05-16,14.03,11127,Germany
INV100015,Soda,3,2023-05-16,4.63,17179,USA
INV100015,Chips,3,2023-05-16,9.37,18666,United Kingdom
INV100016,Cream,3,2023-12-08,2.17,11753,USA
INV100016,Chocolate,2,2023-12-08,4.45,19909,Germany
INV100016,Milk,3,2023-12-08,3.45,14325,USA
INV100016,Coffee,4,2023-12-08,4.14,10832,United Kingdom
INV100016,Biscuits,4,2023-12-08,12.53,10722,United Kingdom
INV100016,Yogurt,3,2023-12-08,11.68,14291,Germany
INV100016,Sugar,4,2023-12-08,8.5,17007,USA
INV100017,Sugar,5,2023-01-05,1.02,16049,USA
INV100017,Juice,5,2023-01-05,2.65,12088,United Kingdom
INV100017,Fruits,3,2023-01-05,5.79,10653,France
INV100017,Milk,2,2023-01-05,10.39,11684,France
INV100017,Coffee,5,2023-01-05,13.32,16658,USA
INV100017,Yogurt,2,2023-01-05,13.92,13878,Germany
INV100018,Beer,4,2023-04-01,12.13,14065,France
INV100018,Water,2,2023-04-01,11.92,11771,India
INV100018,Chips,1,2023-04-01,12.95,13644,Germany
INV100018,Soda,4,2023-04-01,5.57,13728,Germany
INV100019,Pasta,1,2023-01-13,14.52,14573,France
INV100019,Tomato Sauce,5,2023-01-13,6.3,18785,France
INV100019,Chocolate,1,2023-01-13,2.17,14279,Germany
INV100019,Beef,5,2023-01-13,14.46,14349,United Kingdom
INV100019,Coffee,1,2023-01-13,9.15,15663,France
INV100019,Biscuits,4,2023-01-13,9.29,18379,United Kingdom
INV100020,Bread,1,2023-07-17,8.04,18821,Germany
INV100020,Ice Cream,3,2023-07-17,6.75,15409,USA
INV100020,Chocolate,3,2023-07-17,10.12,12041,France
INV100020,Butter,5,2023-07-17,4.98,16691,France
INV100020,Biscuits,4,2023-07-17,10.61,19083,Germany
INV100020,Eggs,2,2023-07-17,6.6,16211,Germany
INV100021,Biscuits,1,2023-11-12,4.91,13443,India
INV100021,Ice Cream,5,2023-11-12,9.3,15279,India
INV100021,Chocolate,4,2023-11-12,6.91,13501,USA
INV100022,Bread,5,2023-08-31,5.36,13848,France
INV100022,Soda,2,2023-08-31,12.2,12414,United Kingdom
INV100022,Butter,1,2023-08-31,4.05,17784,USA
INV100022,Water,1,2023-08-31,7.1,19431,Germany
INV100022,Chips,4,2023-08-31,7.67,13997,Germany
INV100022,Jam,1,2023-08-31,13.44,11746,India
INV100023,Cheese,4,2023-04-23,1.23,14082,United Kingdom
INV100023,Pasta,4,2023-04-23,2.43,17612,USA
INV100023,Tomato Sauce,5,2023-04-23,9.13,17251,USA
INV100024,Beer,2,2023-09-16,11.28,17777,India
INV100024,Chips,3,2023-09-16,11.4,14543,USA
INV100025,Shampoo,2,2023-09-06,4.44,15238,USA
INV100025,Tomato Sauce,1,2023-09-06,2.51,13788,India
INV100025,Bread,2,2023-09-06,10.74,11052,India
INV100025,Cheese,4,2023-09-06,5.3,17633,India
INV100025,Soap,1,2023-09-06,3.5,16883,India
INV100025,Toothpaste,5,2023-09-06,14.22,10320,USA
INV100025,Vegetables,4,2023-09-06,7.42,15763,France
INV100026,Beer,5,2023-07-19,13.52,17999,Germany
INV100026,Chips,3,2023-07-19,6.82,10475,India
INV100027,Coffee,2,2023-06-22,12.69,12091,USA
INV100027,Biscuits,5,2023-06-22,0.89,16455,USA
INV100027,Chocolate,5,2023-06-22,10.11,11375,India
INV100028,Shampoo,2,2023-03-11,7.09,15529,India
INV100028,Vegetables,3,2023-03-11,11.4,16906,France
INV100028,Soap,1,2023-03-11,7.32,18837,United Kingdom
INV100028,Toothpaste,3,2023-03-11,3.75,11124,United Kingdom
INV100028,Rice,1,2023-03-11,14.27,13266,United Kingdom
INV100028,,5,2023-03-11,2.71,12068,India
INV100029,Coffee,3,2023-12-09,11.62,12749,USA
INV100029,Sugar,5,2023-12-09,14.47,11876,Germany
INV100029,Milk,3,2023-12-09,2.07,10420,France
INV100030,Coffee,2,2023-10-22,1.6,13978,United Kingdom
INV100030,Biscuits,3,2023-10-22,12.83,19837,United Kingdom
INV100030,Chocolate,5,2023-10-22,11.85,15688,USA
INV100031,Coffee,3,2023-08-08,0.68,16882,India
INV100031,Biscuits,1,2023-08-08,6.79,15934,India
INV100031,Chocolate,2,2023-08-08,6.81,18548,France
INV100032,Cream,5,2023-11-12,4.39,14022,United Kingdom
INV100032,Yogurt,3,2023-11-12,13.28,13995,India
INV100032,Milk,5,2023-11-12,9.35,16209,France
INV100033,Toothpaste,3,2023-01-15,12.07,15576,France
INV100033,Shampoo,5,2023-01-15,10.67,14526,USA
INV100033,Detergent,1,2023-01-15,7.99,13130,United Kingdom
INV100033,Tomato Sauce,2,2023-01-15,10.94,18004,USA
INV100034,Juice,4,2023-05-04,12.0,11524,France
INV100034,Yogurt,2,2023-05-04,6.36,13986,France
INV100034,Fruits,5,2023-05-04,5.85,19068,USA
INV100035,Beer,3,2023-06-26,10.69,14438,France
INV100035,Chips,3,2023-06-26,3.84,13155,France
INV100036,Water,2,2023-03-03,3.28,17933,France
INV100036,Chips,5,2023-03-03,14.66,18595,USA
INV100036,Soda,3,2023-03-03,14.72,13180,France
INV100037,Bread,2,2023-04-27,4.48,10893,USA
INV100037,Juice,3,2023-04-27,10.61,12068,India
INV100037,Milk,1,2023-04-27,13.15,19405,France
INV100037,Fruits,4,2023-04-27,7.44,15582,Germany
INV100037,Butter,1,2023-04-27,4.16,17827,United Kingdom
INV100037,Yogurt,1,2023-04-27,6.31,11213,USA
INV100038,Tea,3,2023-11-19,1.74,14066,United Kingdom
